URL,label
https://phon.pe/jiol,1
https://phon.pe/offer,1
https://phon.pe/reward,1
https://phon.pe/xyz123,1
https://phon.pe/pay,1
https://phon.pe/12345,1
https://bfl.in/pay,1
https://sbi.co.in/pay,1
https://hdfc.mobi/pay,1
https://icici.mobi/pay,1
https://bit.ly/hdfc-promo,1
https://t.co/shortlink,1
https://tinyurl.com/legit-promo,1
https://amzn.to/3xyz,1
https://flip.to/1234,1
https://mynt.ra/sale,1
https://jio.com/recharge,1
https://jio.com/offer,1
https://vi.in/pay,1
https://airtel.in/pay,1
https://paytm.me/123,1
https://gpay.app.goo.gl/pay,1
https://cred.club/pay,1
https://short.example/abc,1
https://redirect.example/offer,1
https://brand.example/x7Y2,1
https://bflcomm.in/abc,1
https://s.bflcomm.in/xyz,1
https://secure-bank-verify.example/login,0
https://paypal-security-check.example/verify,0
https://hdfcbank.com.evil.example/login,0
https://bit.ly/scam-phishing,0
https://t.co/malicious-link,0
https://tinyurl.com/free-money-scam,0
https://amzn.to-security.com/login,0
https://phon.pe.evil.com/login,0
https://jio-recharge.scam.example/pay,0
https://free-jio-data.example/claim,0
https://update-kyc-now.example/verify,0
https://claim-reward.example/win,0
https://short-scam.xyz/abc,0
https://redirect-malicious.club/xyz,0
